source_center,destination_center,median_segment_factor,mean_segment_factor,median_factor,trip_count,pct_delayed,median_actual_time,median_osrm_time,median_osrm_distance,total_excess_time,avg_excess_time,is_chronic_delay
IND000000ACB,IND125005AAA,1.5750000000000002,1.8222185583635164,1.7626641651031894,28,0.9642857142857143,33.5,25.0,23.93455,1836.0,65.57142857142857,True
IND000000ACB,IND125033AAA,1.6944444444444444,2.0715083315219434,2.264397689768977,12,0.6666666666666666,39.0,21.5,24.77195,982.0,81.83333333333333,True
IND000000ACB,IND127021AAA,1.7941176470588236,3.876926977687627,1.8585858585858583,5,0.8,34.0,29.0,27.3614,275.0,55.0,True
IND000000ACB,IND131028AAB,1.0,1.6824236733558648,1.7745348837209303,588,0.4421768707482993,19.0,20.0,15.12265,31805.0,54.09013605442177,False
IND000000ACB,IND160002AAC,1.8,2.2988156211754456,1.838323353293413,463,0.9481641468682506,35.0,18.0,25.1921,58241.0,125.79049676025917,True
IND000000ACB,IND201007AAA,1.2727272727272727,1.5939326892613241,1.5625,63,0.5079365079365079,14.0,13.0,11.701,1741.0,27.634920634920636,True
IND000000ACB,IND201301AAF,1.2666666666666666,1.8525155102229907,1.4010741510741513,62,0.5645161290322581,16.0,11.0,11.66075,1440.0,23.225806451612904,True
IND000000ACB,IND201301AAM,1.688259109311741,2.015574226031296,2.0,208,0.8076923076923077,20.0,12.0,11.9759,13740.0,66.0576923076923,True
IND000000ACB,IND209304AAA,1.826086956521739,2.14189914152616,2.284210526315789,179,0.8603351955307262,34.0,18.0,25.5503,40695.0,227.3463687150838,True
IND000000ACB,IND282002AAD,1.73125,2.074342586915149,2.087209302325581,24,0.9166666666666666,30.0,17.5,24.5218,2294.0,95.58333333333333,True
IND000000ACB,IND301001AAB,0.7087121212121212,1.156838542032541,1.0227272727272727,24,0.25,34.5,43.5,26.5473,461.0,19.208333333333332,False
IND000000ACB,IND301705AAA,4.0,3.705882352941176,3.588235294117647,3,1.0,87.0,17.0,22.5439,259.0,86.33333333333333,True
IND000000ACB,IND302014AAA,1.6,1.7493120821555879,2.0480030721966203,216,0.8888888888888888,32.0,19.5,25.090600000000002,20835.0,96.45833333333333,True
IND000000ACB,IND302022AAD,1.5294117647058822,1.573327096724259,1.709090909090909,125,0.832,32.0,20.0,24.9241,8488.0,67.904,True
IND000000ACB,IND328001AAA,1.5,1.7462044366894278,1.7418941784424018,50,0.76,33.5,23.5,25.11545,4434.0,88.68,True
IND000000ACB,IND382430AAB,1.5909090909090908,1.885523649442318,1.8827930174563592,436,0.9036697247706422,35.0,18.0,25.797400000000003,128150.0,293.92201834862385,True
IND000000ACB,IND390022AAA,1.5962962962962963,1.7726240325874543,1.805115423417008,280,0.8571428571428571,31.0,20.0,26.51345,87382.0,312.0785714285714,True
IND000000ACB,IND411033AAA,1.5,1.6332779770523962,1.743147208121827,763,0.7352555701179554,29.0,19.0,25.4948,292019.0,382.72477064220186,True
IND000000ACB,IND421302AAG,1.6470588235294117,1.8336772983241996,1.890557939914163,1273,0.8915946582875098,33.0,20.0,27.0799,583287.0,458.1987431264729,True
